date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
2022-01-11,0,0,2,39,1,0,38,0,0,13,1,19,270,2,0,0,2,0,2,1,2,0,0,269,20,3,0,2,2,0,0,2,21,1,1,2,4,5,3,7,245,75,1291,1,71,0,0,2097,7,491,4,13,1,1,3,2,0,1,0,1,7,4,1,0,28,4,0,1600,3,180,0,3,0,255,722,3,0,1,1234,3,1,4,4,0,1,4,253,125,3,1168,5,3,4,0,3,0,14,0,0,1236,1,0,0,0,0,5,1634,0,0,0,0,2,939,592,0,53,1,0,2,0,3,0,0,2,258,1,4,0,14,9,0,2610,2,2,1,5,1145,1472,1,2406,2361,2373,1058,410,17,36,2,291,0,2,758,58,0,0,1,0,2,350,1,0,3195,2584,2092,1417,5,396,4,4,1,2545,1,0,1,6,0,0,7,0,11,0,12,3,0,0,1,2336,0,6,3,0,2,0,12,1,0,3,2,3,0,0,1,1,2,0,2,0,1,0,66,3,356,0,5,0,2,4,2,1,7,4,0,2,10,99,3,57,1,3,1742,2026,713,42,934,1923,2,4505,4350,1931,2253,0,2,5,4,60,0,705,6,2,1145,1,0,0,0,3,4,4,0,0,0,15,218,1310,1809,632,11
2022-01-12,0,0,1,36,0,0,42,0,1,6,0,17,278,3,0,0,2,0,1,0,2,0,0,273,16,3,0,2,1,0,0,3,29,0,10,1,6,9,2,10,253,65,1254,1,57,0,1,2246,8,476,4,13,0,0,1,2,0,0,0,3,4,5,4,0,31,6,1,1642,6,221,0,1,1,219,691,8,1,5,1367,6,0,5,0,0,1,1,291,155,7,1247,4,3,4,0,11,0,17,1,0,1234,0,1,0,0,0,1,1910,2,0,0,0,4,1014,661,0,75,2,0,3,0,1,1,2,1,293,0,4,0,6,1,0,2495,2,2,0,3,1139,1472,4,2292,2379,2573,1140,493,12,44,1,333,3,0,799,69,0,0,2,0,3,390,6,0,3314,2752,2151,1480,0,409,1,9,6,2608,0,0,1,1,1,0,3,0,16,1,5,1,0,2,2,2390,0,6,6,1,3,2,19,2,0,2,6,0,0,1,0,0,3,0,6,0,1,2,82,2,423,0,5,0,8,6,4,5,1,3,0,2,9,103,4,70,0,0,1770,2038,890,45,947,2047,3,4403,4596,2011,2335,0,0,1,7,67,0,753,4,1,1356,0,0,3,0,3,3,6,0,0,0,20,229,1384,1859,549,7
2022-01-13,0,0,1,47,1,0,46,0,0,13,1,22,353,7,0,0,5,1,0,0,3,2,0,288,20,2,0,2,0,0,0,1,25,1,2,0,2,4,8,10,302,94,1419,1,83,0,3,2371,5,542,5,14,0,1,2,1,0,1,0,2,8,2,1,1,31,4,2,1897,1,291,3,3,1,258,732,5,0,1,1573,7,0,7,4,0,2,5,317,165,6,1323,4,2,7,1,7,0,14,0,0,1316,1,0,0,0,0,3,1854,2,0,0,0,4,1060,844,0,77,1,0,5,0,2,0,3,0,351,1,5,0,16,4,3,2486,0,2,1,3,1214,1654,5,2252,2452,2659,1141,604,27,36,1,498,0,0,894,71,0,0,1,0,0,448,5,1,3478,2825,2362,1595,4,430,1,12,2,2583,0,0,0,1,0,0,2,1,9,0,25,4,3,0,2,2338,0,6,4,0,0,0,16,1,4,4,3,1,0,1,0,0,2,0,6,0,0,1,81,3,475,1,8,0,7,4,0,3,4,4,0,5,9,125,4,74,0,0,1809,2081,967,55,1019,2175,4,4457,4750,2071,2524,0,3,5,5,66,0,930,5,3,1565,4,0,1,0,1,9,12,0,0,2,7,312,1348,1934,616,3
2022-01-14,0,0,1,81,1,0,44,0,1,17,1,25,349,2,0,0,7,0,0,1,1,4,1,297,21,0,0,7,1,0,1,2,28,1,3,2,7,2,7,11,312,104,1427,1,89,0,2,2738,6,554,6,22,1,0,4,5,0,0,0,0,4,1,5,0,53,7,0,2078,4,299,1,4,0,270,737,7,0,4,2470,4,0,6,2,0,0,2,357,174,11,1528,2,3,8,2,6,0,23,0,0,1393,0,1,0,0,0,2,2295,5,0,0,1,4,1195,1184,0,77,2,0,9,1,2,1,1,4,378,0,5,0,19,9,4,2831,2,4,0,4,1339,2218,0,2256,2863,2845,1273,742,20,50,0,720,1,1,962,73,0,0,2,0,3,615,3,0,3126,2648,2400,1736,4,446,1,9,3,2751,1,0,1,2,0,0,2,0,23,0,10,2,1,0,1,2626,0,4,7,2,1,0,19,1,1,0,4,0,0,0,0,1,2,0,5,0,1,1,127,5,651,1,3,0,6,6,4,4,5,2,0,4,20,153,10,73,0,1,1984,2331,1002,59,1167,2433,4,4532,4372,2214,2694,1,2,3,23,75,0,986,2,0,2166,1,0,1,0,5,15,13,0,2,0,8,300,1469,2386,712,7
2022-01-15,0,0,1,146,1,0,49,0,1,13,1,30,307,2,1,1,4,3,0,0,2,1,1,251,16,0,0,3,1,0,0,2,16,0,4,2,5,0,3,2,264,87,1301,0,101,0,2,3116,6,566,3,11,0,1,4,2,0,0,0,1,8,1,2,0,32,16,1,2208,3,243,0,3,0,222,538,8,2,3,3777,10,2,5,1,0,1,1,400,176,4,1708,1,1,8,1,4,0,19,1,0,1358,1,0,0,0,0,3,2250,2,0,0,0,7,1158,1824,0,56,1,0,4,0,1,0,1,1,448,0,5,0,8,4,1,3025,3,2,2,3,1239,1585,1,1359,2498,2822,897,955,22,49,1,1499,1,0,789,65,1,0,2,0,3,883,6,1,2465,1900,2081,1713,3,301,2,2,1,2242,3,0,3,2,0,0,2,0,14,0,18,1,3,0,1,2361,0,5,4,0,1,0,13,2,1,1,5,0,0,0,2,1,2,0,2,0,1,0,122,2,798,0,3,0,4,6,4,3,5,1,0,2,14,132,4,51,0,1,1778,3012,934,105,985,2314,2,2853,2907,1642,2505,0,4,1,8,36,0,1222,5,0,3046,1,0,1,0,1,24,13,1,1,0,16,337,1004,2156,748,8
2022-01-16,3,0,1,93,1,0,44,1,0,6,0,20,236,0,0,1,3,3,1,0,2,1,0,208,15,2,0,4,0,0,0,1,10,0,4,0,5,1,2,4,208,48,1040,2,57,1,1,2633,7,449,2,12,0,0,3,4,1,0,0,0,4,2,4,1,31,10,1,1833,0,268,3,0,0,193,474,5,2,2,2873,7,1,6,3,0,1,3,243,105,6,1297,2,0,5,0,3,0,12,0,0,1037,0,0,0,0,0,5,1792,0,0,0,0,3,857,1276,0,55,1,0,2,1,0,1,0,0,305,0,3,0,21,4,0,3467,4,2,1,0,1005,1633,0,1076,2209,2203,716,751,9,29,0,1194,0,0,632,44,0,0,2,0,5,685,5,1,1832,1509,1633,1274,0,252,1,6,0,1732,0,0,0,1,1,0,4,1,16,0,6,1,0,0,0,2301,0,7,4,1,0,0,13,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,73,1,585,1,2,0,5,8,3,2,5,1,0,1,14,104,3,48,0,6,1429,2380,678,74,757,1779,1,2195,2214,1444,2169,0,1,0,5,27,0,1127,5,2,2137,0,0,2,0,2,16,15,0,0,0,20,280,809,1915,717,5
2022-01-17,1,0,1,30,1,0,39,0,0,16,1,10,206,3,0,0,1,1,0,1,1,1,0,161,9,3,0,3,1,0,0,1,18,1,4,0,2,1,3,3,160,41,994,1,40,0,0,1907,1,427,1,2,0,0,4,0,0,0,0,0,6,1,2,0,22,8,0,1563,3,357,4,1,0,163,388,4,0,2,1210,2,1,5,4,0,2,2,176,71,7,1000,3,0,9,2,4,0,8,0,0,1048,1,1,0,0,0,1,1230,6,0,0,0,3,784,629,0,39,2,0,6,0,0,0,1,0,243,0,3,0,15,9,1,4260,1,2,0,2,709,2519,1,1056,1820,1941,761,466,19,35,1,349,1,0,624,39,0,0,1,0,5,342,2,1,2087,1699,1502,1137,1,231,1,4,3,1716,0,0,1,1,1,0,2,0,9,1,8,1,0,0,2,2627,0,4,4,1,3,0,11,0,1,4,1,1,0,0,1,2,2,0,1,0,1,1,60,4,372,1,2,0,3,6,1,3,6,3,0,0,16,79,0,53,1,1,1253,1671,518,42,657,1537,3,2682,2747,1354,1795,1,2,1,4,22,0,1042,8,2,1139,1,0,1,0,1,3,9,0,0,0,11,201,797,1392,576,4
2022-01-18,1,0,1,29,1,0,44,0,0,15,1,7,314,7,0,0,3,1,1,1,1,1,0,270,24,6,0,2,2,0,0,0,22,1,6,0,4,2,6,11,248,87,1345,0,70,0,2,2241,6,494,8,9,1,0,4,1,0,1,0,3,8,1,2,0,36,10,0,1844,5,327,2,5,0,205,736,11,1,5,1253,2,0,8,5,0,2,5,310,159,8,1270,2,4,4,0,7,0,12,0,0,1395,0,0,0,0,0,3,1692,2,0,0,0,3,1008,627,0,74,5,0,3,0,3,2,1,3,289,0,0,0,6,3,3,3295,2,3,2,2,1127,1953,3,2446,2520,2568,1121,435,29,48,1,291,0,1,899,71,1,0,2,0,1,358,2,1,3517,2864,2314,1568,2,438,5,9,1,2645,0,0,2,4,0,0,6,0,14,0,13,3,0,0,1,2693,0,10,6,1,1,0,11,2,1,2,3,2,0,2,0,0,2,0,7,0,0,1,78,2,379,1,6,0,6,7,4,2,7,2,1,4,13,108,4,64,2,0,1760,2299,857,52,1003,2133,2,4582,4664,2116,2310,0,5,5,6,65,0,1296,3,3,1185,2,0,1,0,5,5,7,1,0,0,12,242,1316,1828,672,4
2022-01-19,0,0,2,40,2,0,43,0,1,17,1,18,339,5,0,0,4,2,1,3,3,0,1,306,17,3,0,4,0,1,0,0,24,1,9,0,3,1,1,13,266,80,1409,0,65,0,0,2215,6,554,4,13,3,0,3,2,0,0,0,1,8,1,1,1,31,5,1,1853,8,260,4,5,0,226,684,9,0,0,1436,4,2,4,2,0,2,3,295,176,11,1360,3,1,7,1,6,0,19,0,0,1498,0,0,0,0,0,4,1993,4,0,0,0,3,1111,745,0,88,3,0,6,0,5,1,1,1,321,1,4,2,5,7,2,2498,2,1,0,1,1150,1336,2,2512,2624,2686,1222,489,21,41,2,333,1,2,861,70,1,0,2,1,3,450,1,2,3708,3049,2353,1664,1,402,1,6,2,2816,0,0,1,1,2,0,2,1,18,1,18,1,1,0,0,2737,0,4,3,1,5,1,14,1,0,1,5,1,0,2,0,0,2,0,2,0,2,0,93,3,423,0,5,0,8,5,2,4,8,1,0,2,15,142,3,70,1,1,1927,2142,978,54,1044,2248,2,4616,4799,2190,2490,0,4,3,9,77,0,841,6,1,1473,1,0,0,1,2,6,9,2,0,2,14,234,1446,1986,670,5
2022-01-20,0,0,1,49,1,0,41,0,0,17,0,8,333,5,1,0,2,3,2,1,0,2,2,283,17,3,0,3,4,0,0,3,28,0,4,0,6,6,6,16,233,101,1380,1,85,0,2,2509,4,577,3,12,2,1,4,4,0,0,0,1,10,3,2,0,21,9,1,2071,4,257,5,3,0,198,776,7,0,5,1806,4,1,9,2,0,2,2,322,189,4,1408,4,2,8,0,10,0,18,3,0,1422,1,1,0,0,0,1,2043,2,0,0,0,3,1052,909,0,73,2,0,6,0,2,2,4,1,342,1,3,0,9,1,2,2567,1,6,1,1,1313,1467,0,2480,2674,2667,1241,583,21,46,1,508,1,0,830,72,0,0,2,0,1,485,4,0,3783,3096,2683,1837,4,422,2,7,4,2856,0,0,1,4,0,0,4,1,17,0,22,2,1,0,2,2795,0,5,3,1,4,1,15,1,4,5,5,3,0,2,0,1,2,0,2,0,2,1,110,2,501,2,9,0,3,4,2,0,6,3,0,2,12,134,6,60,0,4,2043,2310,1012,58,1092,2465,2,4661,4951,2065,2542,0,2,4,4,56,0,997,4,2,1691,5,0,1,0,4,8,10,1,0,1,8,271,1421,2024,743,5
2022-01-21,0,0,0,65,2,0,43,0,0,14,2,14,384,5,0,0,6,1,4,1,0,5,2,376,18,1,0,2,2,0,0,1,24,1,4,0,3,0,2,10,310,128,1574,0,83,1,1,2933,4,652,6,18,1,1,2,4,0,0,0,0,10,5,2,0,38,8,0,2238,5,216,6,5,0,277,801,5,1,6,2451,7,1,5,2,0,2,4,369,161,6,1714,4,1,16,1,5,0,16,1,0,1463,4,0,0,0,0,0,2489,4,0,0,0,5,1219,1135,0,91,5,1,6,0,1,0,0,2,421,3,3,0,13,7,2,2515,0,2,1,3,1491,1765,3,2650,3167,3164,1343,682,18,65,2,758,0,2,979,77,2,0,3,0,3,674,7,0,3523,2875,2604,1922,0,518,6,6,2,3068,1,0,0,1,0,0,2,0,18,0,17,3,0,0,2,3269,0,2,6,2,5,0,11,5,2,2,3,2,0,4,0,2,0,0,9,0,1,2,95,2,630,5,5,0,3,9,0,4,4,1,0,4,13,145,6,75,0,2,2218,2443,1082,85,1290,2633,3,5034,4940,2361,3009,0,3,4,7,69,0,978,5,1,2206,2,0,1,0,5,5,7,2,2,3,16,291,1597,2445,751,5
2022-01-22,0,0,0,151,1,0,52,0,0,12,0,29,312,4,0,0,3,3,0,1,1,1,0,286,24,1,0,2,4,0,1,1,18,0,3,3,6,0,4,5,266,65,1413,1,103,0,5,3223,6,647,5,18,1,1,3,2,0,0,0,0,8,3,2,0,25,19,0,2401,2,205,2,2,0,243,577,7,6,2,4314,11,3,13,2,0,1,2,359,171,2,2079,2,1,8,2,7,0,20,0,0,1290,1,0,0,0,0,1,2535,2,0,0,0,13,1413,2082,0,75,2,0,1,0,1,0,0,0,535,3,3,0,13,3,1,2640,1,1,0,0,1275,1149,0,1525,2928,3033,988,1019,27,36,1,1757,0,0,845,59,1,0,2,0,1,1024,2,2,2359,1980,2136,1802,1,367,2,7,1,2514,1,0,1,1,0,0,2,0,17,0,16,1,1,0,2,2783,0,6,5,2,0,0,10,1,2,4,3,4,0,3,0,2,1,0,1,0,0,0,132,2,849,2,2,0,8,2,0,1,1,0,0,1,11,144,7,54,0,4,2090,2567,1153,105,1015,2621,5,3513,3596,1875,2876,0,3,1,12,41,0,1187,7,1,3532,0,0,1,0,2,27,35,0,2,1,13,369,1160,2540,798,5
